barrio,dormitorios,banos,metros,franja_precio
Punta Gorda,2.0,4.0,419.0,alto
Malvin,3.0,3.0,129.0,alto
Cerrito,2.0,1.0,300.0,bajo
Puerto Buceo,4.0,2.0,160.0,alto
Buceo,2.0,1.0,170.0,medio
Carrasco,4.0,4.0,150.0,alto
Reducto,2.0,1.0,99.0,medio
La Blanqueada,2.0,1.0,50.0,medio
Centro,1.0,1.0,40.0,bajo
Monoambiente,2.0,1.0,25.0,bajo
Monoambiente,2.0,1.0,46.0,bajo
Monoambiente,2.0,1.0,35.0,bajo
Barrio Sur,1.0,1.0,47.0,bajo
Pocitos,3.0,3.0,112.0,alto
Centro,3.0,1.0,69.0,medio
Malvin,2.0,1.0,55.0,medio
Cordon,1.0,1.0,70.0,bajo
Monoambiente,2.0,1.0,21.0,bajo
Malvin,2.0,3.0,653.0,alto
Pocitos Nuevo,3.0,1.0,135.0,alto
La Blanqueada,2.0,1.0,74.0,medio
Jacinto Vera,1.0,1.0,43.0,medio
Brazo Oriental,1.0,1.0,44.0,bajo
Pocitos,3.0,3.0,100.0,alto
Cordon,1.0,1.0,64.0,medio
Buceo,2.0,2.0,70.0,alto
Golf,2.0,3.0,191.0,alto
Pocitos,1.0,1.0,64.0,medio
La Comercial,2.0,3.0,978.0,alto
Pocitos,3.0,2.0,104.0,alto
Reducto,2.0,1.0,61.0,bajo
Maroñas,3.0,1.0,580.0,bajo
Ciudad Vieja,2.0,2.0,1.0,bajo
Carrasco,3.0,3.0,600.0,alto
Belvedere,3.0,1.0,79.0,bajo
Reducto,2.0,1.0,67.0,bajo
Ciudad Vieja,2.0,2.0,104.0,bajo
Belvedere,2.0,1.0,62.0,bajo
Ciudad Vieja,2.0,1.0,81.0,medio
Pocitos,3.0,2.0,124.0,alto
Cordon,1.0,1.0,4.0,medio
Pocitos,2.0,2.0,96.0,alto
Monoambiente,2.0,1.0,38.0,bajo
Cordon,3.0,2.0,87.0,medio
Reducto,1.0,1.0,60.0,bajo
Centro,2.0,1.0,79.0,alto
Cerro,2.0,3.0,181.0,medio
Union,3.0,1.0,74.0,bajo
La Blanqueada,1.0,1.0,43.0,bajo
Punta Carretas,1.0,1.0,37.0,medio
Pocitos,2.0,1.0,57.0,medio
Cordon,2.0,1.0,45.0,bajo
Carrasco,2.0,1.0,58.0,medio
Parque Rodo,3.0,3.0,114.0,alto
Parque Batlle,2.0,1.0,45.0,bajo
Barrio Sur,1.0,1.0,46.0,medio
Parque Rodo,2.0,1.0,67.0,medio
Prado,1.0,1.0,67.0,medio
Monoambiente,2.0,1.0,35.0,bajo
Manga,4.0,2.0,632.0,alto
Pocitos,1.0,1.0,67.0,alto
Cerrito,2.0,4.0,1358.0,alto
